epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
95,1966.97,0.53846,0.38801,1.00242,0.95254,0.75714,0.80888,0.53917,0.62179,0.40446,0.86929,7.71034e-05,7.71034e-05,7.71034e-05
96,1983.36,0.50927,0.69932,0.96748,0.94458,0.75118,0.81223,0.54565,0.63142,0.40617,0.86944,6.61045e-05,6.61045e-05,6.61045e-05
97,1999.75,0.521,0.38106,0.99757,0.9661,0.75174,0.81074,0.54975,0.66078,0.42116,0.88052,5.51056e-05,5.51056e-05,5.51056e-05
98,2016.14,0.54555,0.38871,1.00192,0.9642,0.75231,0.80261,0.54878,0.60435,0.41178,0.86244,4.41067e-05,4.41067e-05,4.41067e-05
99,2032.54,0.52624,0.3865,0.99969,0.96786,0.73339,0.80187,0.54995,0.60243,0.42372,0.86297,3.31078e-05,3.31078e-05,3.31078e-05
100,2048.96,0.51757,0.38169,0.99414,0.956,0.74642,0.80188,0.55659,0.6118,0.42364,0.86452,2.21089e-05,2.21089e-05,2.21089e-05
1,65.1463,2.91202,7.86756,2.52624,0.9348,0.10909,0.10978,0.02754,2.79773,7.47278,2.15675,0.000368193,0.000368193,0.000368193
2,161.182,2.47942,6.46018,2.07087,0.78525,0.17576,0.18358,0.06012,2.46795,6.32345,2.19926,0.000731215,0.000731215,0.000731215
3,303.773,2.27398,5.39769,2.06042,0.67835,0.21745,0.18506,0.07911,2.63779,6.47997,2.35753,0.0010869,0.0010869,0.0010869
1,93.1304,3.04777,8.58535,2.54986,0.91498,0.09697,0.09532,0.03948,2.83951,7.3793,2.42324,0.000368193,0.000368193,0.000368193
2,249.799,2.48479,6.72022,2.09598,0.90102,0.12121,0.12724,0.06123,2.67155,6.43447,2.49472,0.000731215,0.000731215,0.000731215
